t	h
859.646	25191.4
860.647	25191.4
861.648	25191.5
862.649	25191.6
863.65	25191.6
864.651	25191.7
865.652	25191.7
866.653	25191.7
867.654	25191.8
868.655	25191.8
869.656	25191.8
870.657	25191.9
871.658	25191.9
872.659	25191.9
873.66	25191.9
874.661	25191.9
875.662	25191.9
876.663	25191.9
877.664	25191.9
878.665	25191.9
879.666	25191.9
880.667	25191.8
881.668	25191.8
882.669	25191.8
883.67	25191.7
884.671	25191.7
885.672	25191.7
886.673	25191.6
887.674	25191.6
888.675	25191.5
889.676	25191.4
890.677	25191.4
891.678	25191.3
892.679	25191.2
893.68	25191.1
894.681	25191.1
895.682	25191
896.683	25190.9
897.684	25190.8
898.685	25190.7
899.686	25190.6
900.687	25190.5
901.688	25190.4
902.689	25190.3
903.69	25190.2
904.691	25190.1
905.692	25190
906.693	25189.9
907.694	25189.8
908.695	25189.7
909.696	25189.6
910.697	25189.5
911.698	25189.4
912.699	25189.2
913.7	25189.1
914.701	25189
915.702	25188.9
916.703	25188.8
917.704	25188.7
918.705	25188.6
919.706	25188.5
920.707	25188.4
921.708	25188.3
922.709	25188.2
923.71	25188.1
924.711	25188
925.712	25187.9
926.713	25187.8
927.714	25187.7
928.715	25187.6
929.716	25187.5
930.717	25187.4
931.718	25187.3
932.719	25187.2
933.72	25187.1
934.721	25187.1
935.722	25187
936.723	25186.9
937.724	25186.8
938.725	25186.8
939.726	25186.7
940.727	25186.7
941.728	25186.6
942.729	25186.6
943.73	25186.5
944.731	25186.5
945.732	25186.4
946.733	25186.4
947.734	25186.4
948.735	25186.3
949.736	25186.3
950.737	25186.3
951.738	25186.3
952.739	25186.2
953.74	25186.2
954.741	25186.2
955.742	25186.2
956.743	25186.2
957.744	25186.2
958.745	25186.3
959.746	25186.3
960.747	25186.3
961.748	25186.3
962.749	25186.3
963.75	25186.4
964.751	25186.4
965.752	25186.4
966.753	25186.5
967.754	25186.5
968.755	25186.6
969.756	25186.6
970.757	25186.7
971.758	25186.7
972.759	25186.8
973.76	25186.9
974.761	25186.9
975.762	25187
976.763	25187.1
977.764	25187.1
978.765	25187.2
979.766	25187.3
980.767	25187.4
981.768	25187.5
982.769	25187.6
983.77	25187.6
984.771	25187.7
985.772	25187.8
986.773	25187.9
987.774	25188
988.775	25188.1
989.776	25188.2
990.777	25188.3
991.778	25188.4
992.779	25188.5
993.78	25188.6
994.781	25188.7
995.782	25188.8
996.783	25188.9
997.784	25189
998.785	25189
999.786	25189.1
1000.79	25189.2
1001.79	25189.3
1002.79	25189.4
1003.79	25189.5
1004.79	25189.6
1005.79	25189.7
1006.79	25189.8
1007.79	25189.8
1008.79	25189.9
1009.8	25190
1010.8	25190.1
1011.8	25190.2
1012.8	25190.2
1013.8	25190.3
1014.8	25190.4
1015.8	25190.4
1016.8	25190.5
1017.8	25190.6
1018.8	25190.6
1019.81	25190.7
1020.81	25190.7
1021.81	25190.8
1022.81	25190.8
1023.81	25190.9
1024.81	25190.9
1025.81	25190.9
1026.81	25191
1027.81	25191
1028.81	25191
1029.82	25191
1030.82	25191.1
1031.82	25191.1
1032.82	25191.1
1033.82	25191.1
1034.82	25191.1
1035.82	25191.1
1036.82	25191.1
1037.82	25191.1
1038.82	25191.1
1039.83	25191.1
1040.83	25191.1
1041.83	25191
1042.83	25191
1043.83	25191
1044.83	25191
1045.83	25190.9
1046.83	25190.9
1047.83	25190.9
1048.83	25190.8
1049.84	25190.8
1050.84	25190.7
1051.84	25190.7
1052.84	25190.6
1053.84	25190.6
1054.84	25190.5
1055.84	25190.4
1056.84	25190.4
1057.84	25190.3
1058.84	25190.2
1059.85	25190.2
1060.85	25190.1
1061.85	25190
1062.85	25190
1063.85	25189.9
1064.85	25189.8
1065.85	25189.7
1066.85	25189.7
1067.85	25189.6
1068.85	25189.5
1069.86	25189.4
1070.86	25189.3
1071.86	25189.2
1072.86	25189.2
1073.86	25189.1
1074.86	25189
1075.86	25188.9
1076.86	25188.8
1077.86	25188.7
1078.86	25188.7
1079.87	25188.6
1080.87	25188.5
1081.87	25188.4
1082.87	25188.3
1083.87	25188.3
1084.87	25188.2
1085.87	25188.1
1086.87	25188
1087.87	25188
1088.87	25187.9
1089.88	25187.8
1090.88	25187.8
1091.88	25187.7
1092.88	25187.6
1093.88	25187.6
1094.88	25187.5
1095.88	25187.4
1096.88	25187.4
1097.88	25187.3
1098.88	25187.3
1099.89	25187.2
1100.89	25187.2
1101.89	25187.1
1102.89	25187.1
1103.89	25187.1
1104.89	25187
1105.89	25187
1106.89	25187
1107.89	25186.9
1108.89	25186.9
1109.9	25186.9
1110.9	25186.9
1111.9	25186.9
1112.9	25186.9
1113.9	25186.8
1114.9	25186.8
1115.9	25186.8
1116.9	25186.8
1117.9	25186.8
1118.9	25186.9
1119.91	25186.9
1120.91	25186.9
1121.91	25186.9
1122.91	25186.9
1123.91	25186.9
1124.91	25187
1125.91	25187
1126.91	25187
1127.91	25187.1
1128.91	25187.1
1129.92	25187.1
1130.92	25187.2
1131.92	25187.2
1132.92	25187.3
1133.92	25187.3
1134.92	25187.4
1135.92	25187.4
1136.92	25187.5
1137.92	25187.5
1138.92	25187.6
1139.93	25187.6
1140.93	25187.7
1141.93	25187.8
1142.93	25187.8
1143.93	25187.9
1144.93	25188
1145.93	25188
1146.93	25188.1
1147.93	25188.2
1148.93	25188.3
1149.94	25188.3
1150.94	25188.4
1151.94	25188.5
1152.94	25188.5
1153.94	25188.6
1154.94	25188.7
1155.94	25188.8
1156.94	25188.8
1157.94	25188.9
1158.94	25189
1159.95	25189.1
1160.95	25189.1
1161.95	25189.2
1162.95	25189.3
1163.95	25189.3
1164.95	25189.4
1165.95	25189.5
1166.95	25189.5
1167.95	25189.6
1168.95	25189.7
1169.96	25189.7
1170.96	25189.8
1171.96	25189.9
1172.96	25189.9
1173.96	25190
1174.96	25190
1175.96	25190.1
1176.96	25190.1
1177.96	25190.2
1178.96	25190.2
1179.97	25190.3
1180.97	25190.3
1181.97	25190.3
1182.97	25190.4
1183.97	25190.4
1184.97	25190.5
1185.97	25190.5
1186.97	25190.5
1187.97	25190.5
1188.97	25190.6
1189.98	25190.6
1190.98	25190.6
1191.98	25190.6
1192.98	25190.6
1193.98	25190.6
1194.98	25190.6
1195.98	25190.6
1196.98	25190.6
1197.98	25190.6
1198.98	25190.6
1199.99	25190.6
1200.99	25190.6
1201.99	25190.6
1202.99	25190.6
1203.99	25190.5
1204.99	25190.5
1205.99	25190.5
1206.99	25190.5
1207.99	25190.4
1208.99	25190.4
1210	25190.4
1211	25190.3
1212	25190.3
1213	25190.3
1214	25190.2
1215	25190.2
1216	25190.1
1217	25190.1
1218	25190
1219	25190
1220.01	25189.9
1221.01	25189.9
1222.01	25189.8
1223.01	25189.7
1224.01	25189.7
1225.01	25189.6
1226.01	25189.6
1227.01	25189.5
1228.01	25189.4
1229.01	25189.4
1230.02	25189.3
1231.02	25189.2
1232.02	25189.2
1233.02	25189.1
1234.02	25189
1235.02	25189
1236.02	25188.9
1237.02	25188.8
1238.02	25188.8
1239.02	25188.7
1240.03	25188.6
1241.03	25188.6
1242.03	25188.5
1243.03	25188.5
1244.03	25188.4
1245.03	25188.3
1246.03	25188.3
1247.03	25188.2
1248.03	25188.1
1249.03	25188.1
1250.04	25188
1251.04	25188
1252.04	25187.9
1253.04	25187.9
1254.04	25187.8
1255.04	25187.8
1256.04	25187.7
1257.04	25187.7
1258.04	25187.6
1259.04	25187.6
1260.05	25187.5
1261.05	25187.5
1262.05	25187.5
1263.05	25187.4
1264.05	25187.4
1265.05	25187.4
1266.05	25187.4
1267.05	25187.3
1268.05	25187.3
1269.05	25187.3
1270.06	25187.3
1271.06	25187.3
1272.06	25187.2
1273.06	25187.2
1274.06	25187.2
1275.06	25187.2
1276.06	25187.2
1277.06	25187.2
1278.06	25187.2
1279.06	25187.2
1280.07	25187.2
1281.07	25187.2
1282.07	25187.3
1283.07	25187.3
1284.07	25187.3
1285.07	25187.3
1286.07	25187.3
1287.07	25187.4
1288.07	25187.4
1289.07	25187.4
1290.08	25187.4
1291.08	25187.5
1292.08	25187.5
1293.08	25187.5
1294.08	25187.6
1295.08	25187.6
1296.08	25187.7
1297.08	25187.7
1298.08	25187.8
1299.08	25187.8
1300.09	25187.9
1301.09	25187.9
1302.09	25188
1303.09	25188
1304.09	25188.1
1305.09	25188.1
1306.09	25188.2
1307.09	25188.2
1308.09	25188.3
1309.09	25188.3
1310.1	25188.4
1311.1	25188.5
1312.1	25188.5
1313.1	25188.6
1314.1	25188.6
1315.1	25188.7
1316.1	25188.8
1317.1	25188.8
1318.1	25188.9
1319.1	25188.9
1320.11	25189
1321.11	25189.1
1322.11	25189.1
1323.11	25189.2
1324.11	25189.2
1325.11	25189.3
1326.11	25189.4
1327.11	25189.4
1328.11	25189.5
1329.11	25189.5
1330.12	25189.6
1331.12	25189.6
1332.12	25189.7
1333.12	25189.7
1334.12	25189.8
1335.12	25189.8
1336.12	25189.9
1337.12	25189.9
1338.12	25189.9
1339.12	25190
1340.13	25190
1341.13	25190
1342.13	25190.1
1343.13	25190.1
1344.13	25190.1
1345.13	25190.2
1346.13	25190.2
1347.13	25190.2
1348.13	25190.2
1349.13	25190.2
1350.14	25190.3
1351.14	25190.3
1352.14	25190.3
1353.14	25190.3
1354.14	25190.3
1355.14	25190.3
1356.14	25190.3
1357.14	25190.3
1358.14	25190.3
1359.14	25190.3
1360.15	25190.3
1361.15	25190.3
1362.15	25190.3
1363.15	25190.3
1364.15	25190.3
1365.15	25190.2
1366.15	25190.2
1367.15	25190.2
1368.15	25190.2
1369.15	25190.1
1370.16	25190.1
1371.16	25190.1
1372.16	25190.1
1373.16	25190
1374.16	25190
1375.16	25190
1376.16	25189.9
1377.16	25189.9
1378.16	25189.8
1379.16	25189.8
1380.17	25189.7
1381.17	25189.7
1382.17	25189.7
1383.17	25189.6
1384.17	25189.6
1385.17	25189.5
1386.17	25189.5
1387.17	25189.4
1388.17	25189.3
1389.17	25189.3
1390.18	25189.2
1391.18	25189.2
1392.18	25189.1
1393.18	25189.1
1394.18	25189
1395.18	25189
1396.18	25188.9
1397.18	25188.9
1398.18	25188.8
1399.18	25188.7
1400.19	25188.7
1401.19	25188.6
1402.19	25188.6
1403.19	25188.5
1404.19	25188.5
1405.19	25188.4
1406.19	25188.4
1407.19	25188.3
1408.19	25188.3
1409.19	25188.2
1410.2	25188.2
1411.2	25188.1
1412.2	25188.1
1413.2	25188
1414.2	25188
1415.2	25187.9
1416.2	25187.9
1417.2	25187.9
1418.2	25187.8
1419.2	25187.8
1420.21	25187.8
1421.21	25187.7
1422.21	25187.7
1423.21	25187.7
1424.21	25187.6
1425.21	25187.6
1426.21	25187.6
1427.21	25187.6
1428.21	25187.6
1429.21	25187.5
1430.22	25187.5
1431.22	25187.5
1432.22	25187.5
1433.22	25187.5
1434.22	25187.5
1435.22	25187.5
1436.22	25187.5
1437.22	25187.5
1438.22	25187.5
1439.22	25187.5
1440.23	25187.5
1441.23	25187.5
1442.23	25187.5
1443.23	25187.5
1444.23	25187.5
1445.23	25187.5
1446.23	25187.6
1447.23	25187.6
1448.23	25187.6
1449.23	25187.6
1450.24	25187.7
1451.24	25187.7
1452.24	25187.7
1453.24	25187.7
1454.24	25187.8
1455.24	25187.8
1456.24	25187.8
1457.24	25187.9
1458.24	25187.9
1459.24	25188
1460.25	25188
1461.25	25188
1462.25	25188.1
1463.25	25188.1
1464.25	25188.2
1465.25	25188.2
1466.25	25188.3
1467.25	25188.3
1468.25	25188.4
1469.25	25188.4
1470.26	25188.5
1471.26	25188.5
1472.26	25188.6
1473.26	25188.6
1474.26	25188.7
1475.26	25188.7
1476.26	25188.8
1477.26	25188.8
1478.26	25188.9
1479.26	25188.9
1480.27	25189
1481.27	25189
1482.27	25189.1
1483.27	25189.1
1484.27	25189.2
1485.27	25189.2
1486.27	25189.3
1487.27	25189.3
1488.27	25189.4
1489.27	25189.4
1490.28	25189.5
1491.28	25189.5
1492.28	25189.5
1493.28	25189.6
1494.28	25189.6
1495.28	25189.7
1496.28	25189.7
1497.28	25189.7
1498.28	25189.8
1499.28	25189.8
1500.29	25189.8
1501.29	25189.9
1502.29	25189.9
1503.29	25189.9
1504.29	25189.9
1505.29	25190
1506.29	25190
1507.29	25190
1508.29	25190
1509.29	25190
1510.3	25190.1
1511.3	25190.1
1512.3	25190.1
1513.3	25190.1
1514.3	25190.1
1515.3	25190.1
1516.3	25190.1
1517.3	25190.1
1518.3	25190.1
1519.3	25190.1
1520.31	25190.1
1521.31	25190.1
1522.31	25190.1
1523.31	25190.1
1524.31	25190
1525.31	25190
1526.31	25190
1527.31	25190
1528.31	25190
1529.31	25190
1530.32	25189.9
1531.32	25189.9
